Site name,(Doc complete) Byets in,(Doc complete) Requests,(Fully loaded) Bytes in,(Fully loaded) Requests,(Fully loaded) Time,DOM elements,First byte,Load time,Speed Index,Start render
http//about.com/,4495425.0,38.0,4616725.0,68.0,10325.0,276.0,311.0,8239.0,2371.0,2100.0
http//amazon.co.jp/,4237284.0,201.0,5354939.0,306.0,13339.0,2295.0,1234.0,8920.0,6855.0,2700.0
http//aol.com/,1821899.0,108.0,1877615.0,151.0,12327.0,3252.0,1070.0,7218.0,4345.0,2100.0
http//apache.org/,574065.0,27.0,600165.0,33.0,2148.0,953.0,122.0,1828.0,962.0,900.0
http//bandcamp.com/,3826872.0,165.0,3828465.0,166.0,7354.0,4152.0,672.0,7294.0,2777.0,2000.0
http//bbb.org/,905540.0,66.0,916816.0,69.0,33297.0,600.0,750.0,32872.0,3441.0,3400.0
http//bbc.com/,1372121.0,101.0,1812136.0,255.0,20965.0,1360.0,418.0,5211.0,3194.0,2200.0
http//behance.net/,3379805.0,171.0,3385887.0,174.0,8419.0,2387.0,293.0,8249.0,2718.0,2400.0
http//beian.gov.cn/,1646040.0,42.0,1650991.0,43.0,12244.0,470.0,1547.0,11928.0,8731.0,7700.0
http//bing.com/,393785.0,4.0,632268.0,51.0,5737.0,371.0,291.0,1094.0,959.0,500.0
http//blogspot.co.uk/,385382.0,14.0,404423.0,19.0,3395.0,383.0,478.0,1523.0,702.0,700.0
http//bloomberg.com/,2072178.0,251.0,2685213.0,362.0,11508.0,1462.0,411.0,6527.0,3242.0,1100.0
http//businessinsider.com/,3079847.0,257.0,3288210.0,410.0,11546.0,899.0,290.0,8331.0,4056.0,1900.0
http//cdc.gov/,1579956.0,32.0,1748414.0,34.0,3960.0,962.0,692.0,3466.0,1982.0,1600.0
http//constantcontact.com/,2929001.0,142.0,2953212.0,152.0,11320.0,589.0,581.0,8038.0,2149.0,1700.0
http//cpanel.com/,995513.0,48.0,996305.0,49.0,2817.0,306.0,400.0,2704.0,1815.0,1400.0
http//cpanel.net/,995701.0,49.0,996493.0,50.0,3156.0,306.0,703.0,3041.0,2282.0,1800.0
http//dailymotion.com/,9632864.0,418.0,12783762.0,444.0,39177.0,8498.0,1077.0,23098.0,13112.0,5800.0
http//disqus.com/,1008813.0,38.0,1014641.0,46.0,3203.0,289.0,265.0,2906.0,2512.0,2300.0
http//eepurl.com/,173891.0,10.0,180717.0,11.0,1341.0,27.0,320.0,1288.0,676.0,600.0
http//elegantthemes.com/,864285.0,44.0,1451172.0,61.0,6537.0,180.0,444.0,2632.0,1772.0,1600.0
